family,genus,species,origin,extin,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Heterohelicidae,Ventilabrella,eggeri,84.5,82,0.881468702,180,1.233349018,0.819852941,180,180,180,86.01326005,65.94,3,0.938865647,288.32,236.38,89.01,42278.63,0.17792322,1.771443766,1.296297207,0.966815834,90,90,1,0.733133205,0.173418424,0
Heterohelicidae,Laeviheterohelix,turgida,84.9,82,1.646228084,180,1.444584914,0.680002926,180,180,180,93.41947212,55.05,2,1.283054202,273.44,185.94,90,33751.22,0.498878855,1.379195776,1.104388606,0.889319704,90,90,1,0.887217181,0,0
Heterohelicidae,Heterohelix,papula,85.3,82,0.981122025,180,1.932348387,0.518839318,180,180,180,92.44972643,43.85,2,0.99051604,735.43,381.57,90,185393.52,0.13934322,1.120887153,0.985478109,0.942976004,90,90,1,0.741396795,0,3
Globotruncanidae,Marginotruncana,pseudolinneana,90.5,82,1.694986145,56.07333333,1.149362111,2.076115909,63.58,54.53,50.11,92.05556746,171.99,6.25,1.087002998,247.78,514.42,90,175034.47,0.243560197,1.183292777,0.827277784,0.994580182,17.06,18.65,0.914745308,0.880327255,0.464444265,1
Globotruncanidae,Marginotruncana,coronata,90.7,82.1,1.870828771,57.42333333,1.073310117,2.276687814,63.89,56.68,51.7,90.41640388,156.48,7,1.095216727,272.69,620.83,108.04,245249.89,0.228390561,1.155189013,0.84157241,0.995861227,27.08,11.96,2.264214047,0.90124462,0,1
Heterohelicidae,Sigalia,rugocostata,84.5,83.5,1.079508866,180,1.079667923,0.917870584,180,180,180,96.79816311,70.18,8,1.038994161,494.22,453.63,90,125850.66,0.105386575,1.301975928,0.948562929,0.886914042,90,90,1,0.838856341,0,0
Heterohelicidae,Sigalia,carpatica,85,83.5,1.377449547,180,1.10455283,0.901843359,180,180,180,94.35273694,69.02,2,1.173647966,449.18,405.09,90,118826.49,0.386246282,1.256719714,0.891387081,0.909428262,90,90,1,0.806194294,0.2226279,0
Heterohelicidae,Sigalia,decoratissima,85,83.5,0.900187754,180,1.069771023,0.943357193,180,180,180,96.00381809,83.82,8,0.948782248,483.38,456,90,130271.89,0.06337622,1.596203466,0.451235983,0.888613316,90,90,1,0.820310138,0,0
Heterohelicidae,Heterohelix,sphenoides,85.7,83.5,1.625676612,180,1.124003133,0.868698931,180,180,180,95.4096901,65.33,2,1.27502024,318.2,276.42,90,54580.28,0.415890868,1.401126615,0.914104173,0.922125647,90,90,1,0.844405805,0,3
Globigerinelloididae,Eohastigerinella,watersi,85.8,83.5,4.343670215,74.02,1.55189428,5.569075561,76.45,80.77,64.84,55.27963968,180,5,1.337381556,145.71,811.47,90,131497.96,0.436012011,2.894594388,0.515923628,0.980628425,90,90,1,0.46244685,0,3
Globigerinelloididae,Hastigerinoides,alexanderi,87,83.5,1.725508092,53.05333333,1.75508397,4.394488074,48.06,54.77,56.33,71.03457572,170.28,5.5,1.077332646,137.52,604.33,87.16,76402.32,0.283916902,2.781257145,0.375395442,1,11.87,3.54,3.353107345,0.434452531,0,3
Globotruncanidae,Marginotruncana,marginata,90.3,83.5,1.263398726,57.71333333,1.070865897,2.300547954,58.54,58.79,55.81,90.59212124,147.05,6,1.037886783,326.67,751.52,105.2,340293.01,0.223752172,1.175912278,0.853139388,0.998262986,12.8,7.05,1.815602837,0.879643154,0.227140539,1
Hedbergellidae,Dicarinella,asymetrica,84.94,83.53,1.313616104,60.52333333,1.026804638,1.749311363,62.14,51.2,68.23,89.50497452,180,6,1.035160934,406.6,711.27,81.69,325151.82,0.177091766,1.212575262,0.8510457,0.982387999,63.74,3.81,16.72965879,0.86441031,0,1
Hedbergellidae,Dicarinella,concavata,90.79,83.53,1.884859038,61.67333333,1.127137719,1.71439664,73.85,52.78,58.39,86.46667718,180,6,1.110854957,283.33,485.74,89.3,153857.71,0.317477558,1.227397247,0.972577113,1,80.22,79.7,1.006524467,0.821674939,0.201672961,1
Rugoglobigerinidae,Archaeoglobigerina,bosquensis,87,84,1.477751247,60.96,1.184272373,1.87719126,49.47,56.58,76.83,82.81334825,180,6,1.063626013,203.65,382.29,90,93738.36,0.248536672,1.260054284,0.898383068,0.96285315,90,90,1,0.782048334,0,0
Heterohelicidae,Ventilabrella,austinana,90.3,84,1.07045734,180,1.188529025,0.857167718,180,180,180,95.12046738,50.17,5,1.034629083,459.7,394.04,90,104674.76,0.146929594,5.577540878,1.108155552,0.939919292,90,90,1,0.757375284,0,0
Globigerinidae,Globigerinelloides,escheri,92.5,84,2.638082962,77.54333333,1.238622931,2.141251596,76.53,80.08,76.02,97.2707795,180,6,1.233078356,39.15,83.83,90,4115.53,0.37064485,1.398458396,0.942421299,0.942599434,90,90,1,0.817272785,0,2
Globotruncanidae,Marginotruncana,schneegansi,91.51,84.1,2.371841553,57.16666667,1.137627696,1.979117814,66.31,50.72,54.47,92.60261125,139.89,6,1.137338103,405.13,801.8,70.36,446006.24,0.287236811,1.171220262,0.896227246,0.995493392,60.7,10.49,5.786463298,0.912093387,0,3
Hedbergellidae,Whiteinella,brittonensis,96,84.4,0.97105138,53.05,1.085594875,1.474613772,58.85,48.98,51.32,96.8428814,116.43,6,0.997144305,257.62,379.89,90,100509.3,0.200783211,1.213078049,0.773397738,0.946428532,90,90,1,0.808856322,0,3
Globotruncanidae,Marginotruncana,sinuosa,90,84.7,0.999444809,77.53333333,1.105886228,2.384691314,79.96,78.52,74.12,89.32344872,153.9,5,0.996779892,222.88,531.5,64.05,199751.02,0.207053661,1.133779857,1.032716976,0.965106506,17.61,40.72,0.432465619,0.850074753,0.346105528,1
Hedbergellidae,Whiteinella,inornata,92.7,84.7,2.952945563,85.43333333,1.203107788,1.920993055,99.59,85.5,71.21,88.11898499,147.7,4,1.276181538,260.61,500.63,90,172404.94,0.444030722,1.24543664,1.106974992,0.985309004,53.99,64.16,0.841490025,0.830936905,0,3
Hedbergellidae,Muricohedbergella,flandrini,89.7,85,1.744024936,73.98,1.318256861,2.455326062,78.27,70.95,72.72,92.00838995,153.95,5,1.119655736,172.36,423.2,90,95768.96,0.318104948,1.507916058,0.805718598,0.985657477,27.65,38.47,0.718741877,0.817408055,0,3
Globotruncanidae,Marginotruncana,paraconcavata,89.8,85,1.878128279,81.89333333,1.181668238,2.291472413,96.82,71.79,77.07,88.20138865,180,4,1.151045815,272.41,624.22,61.55,263121.28,0.388345367,1.194851679,1.076814794,0.982431638,31.61,1.85,17.08648649,0.877271255,0.354428986,1
Globotruncanidae,Marginotruncana,sigali,91.7,85.2,1.555433185,65.65666667,1.12130767,2.312338829,70.22,59.78,66.97,90.33037693,136.07,6,1.081126404,255.94,591.82,56.5,221233.84,0.289833327,1.212066259,0.950627823,0.990806616,32.9,23.42,1.404782237,0.920296238,0,1
Hedbergellidae,Whiteinella,baltica,94.7,85.2,1.133001173,85.63,1.125,1.581622517,77.93,84,94.96,89.92041449,144.27,4,1.035450704,241.6,382.12,90,89767.62,0.276028149,1.378837645,0.982960003,0.923315775,90,90,1,0.769346681,0,3
Globigerinelloididae,Hastigerinoides,subdigitata,88,85.3,2.111256801,65.34,1.327737928,2.745465771,62.88,67.84,65.3,91.32615526,168.71,5,1.14719612,129.57,355.73,90,58288.35,0.296653619,1.626666548,0.65838914,0.949924141,90,90,1,0.671968821,0,3
Hedbergellidae,Dicarinella,primitiva,89,85.4,1.149625249,87.13333333,1.200951505,2.508376234,89.42,81.28,90.7,88.60665027,147.67,4,1.035815754,351.59,881.92,76.01,404068.21,0.330443442,1.25067402,1.151614854,1,23.3,30.07,0.774858663,0.896278165,0,1
Globotruncanidae,Marginotruncana,renzi,92,85.4,0.871053097,65.07,0.899642979,1.84207891,59.72,62.25,73.24,94.52230521,137.43,5,0.974942011,299.58,551.85,86.19,270943.06,0.202374403,1.107268966,1.036882055,0.991343616,27.22,14.73,1.847929396,0.925892614,0.191201015,1
Hedbergellidae,Hedbergella,simplex,112.2,85.8,2.099412109,82.08,1.352981274,2.152565431,87.06,85.55,73.63,90.647953,139.88,5,1.186560796,154.36,332.27,89.7,46002.9,0.422479887,1.597619667,0.842910143,0.96623452,90,90,1,0.761746431,0,3
Schackoinidae,Schackoina,bicornis,98.9,86,2.019273275,94.34333333,1.211402916,1.243847111,108.77,85.09,89.17,70.85547268,176.63,4,1.205439474,498.14,619.61,56.11,114944.21,0.444672507,1.992189044,0.746985434,1,48.78,51.89,0.940065523,0.603157226,0,0
Hedbergellidae,Muricohedbergella,delrioensis,100.6,86,1.870997346,77.02666667,1.178456221,1.768601233,92.08,76.62,62.38,96.05323105,167.75,5,1.130032313,173.51,306.87,90,55793.67,0.333164318,1.363304421,0.944540924,0.939219812,90,90,1,0.875704822,0,3
Hedbergellidae,Whiteinella,archaeocretacea,93.95,86.3,1.671708297,77.31666667,1.232437558,2.573005976,81.32,72.72,77.91,91.57390965,178.1,5,1.11751056,230.94,594.21,90,200612,0.30146412,1.30186748,0.970951902,0.949675577,90,90,1,0.85181797,0,3
Hedbergellidae,Dicarinella,imbricata,92.8,86.6,1.28160594,61.18,1.073852253,1.97872021,74.5,52.62,56.42,93.80314974,124.31,5,1.059730518,266.45,527.23,60.12,177427.65,0.276055677,1.1819366,0.85441823,0.946442807,33.67,23.23,1.449418855,0.88709379,0,1
Hedbergellidae,Dicarinella,canaliculata,93,86.6,1.277343918,57.4,1.162258065,2.240826481,59.45,55.72,57.03,95.49800935,154.07,6,1.041119119,144.71,324.27,100.38,71583.74,0.232181498,1.198525965,0.83809377,0.980545241,22.26,24.87,0.895054282,0.88269313,0.300946721,1
Rotaliporidae,Clavihedbergella,moremani,93,88,4.599040047,69.65,1.66208574,3.688301174,76.63,68.08,64.24,69.45187458,166.86,6,1.346252616,74.11,273.34,90,22139.92,0.458488107,2.182165945,0.628424293,0.984346125,90,90,1,0.624454421,0,0
Hedbergellidae,Whiteinella,paradubia,94.3,88.1,1.302489836,58.58333333,1.055858345,1.051043104,58.02,65.53,52.2,96.60734485,114.26,6.5,1.042683059,355.19,373.32,90,121034.48,0.217419284,1.152588021,0.855724056,0.950919433,90,90,1,0.867275016,0,3
Hedbergellidae,Dicarinella,elata,92.6,88.5,1.584639081,59.22666667,0.961928318,1.927377731,71.08,51.35,55.25,94.85242485,142.81,6,1.074901071,358.43,690.83,90,323576.21,0.194977004,1.209292312,0.817736713,0.977003553,58.15,15.51,3.749194068,0.90413615,0,1
Hedbergellidae,Falsotruncana,maslakovae,89.2,88.6,1.557545783,64.81,1.041450333,2.173846843,74.24,63.2,56.99,90.83015553,141.81,6,1.082435789,223.3,485.42,101.75,183483.19,0.256894814,1.217164009,0.871592571,0.994596943,19.34,22.49,0.85993775,0.882101888,0.279937304,1
Hedbergellidae,Muricohedbergella,planispira,118.1,88.6,2.637116484,65.18666667,0.947614131,1.931605777,79.69,57.64,58.23,96.57027964,178.76,6,1.183133769,117.7,227.35,90,32533.62,0.302845795,1.247144287,0.8344655,0.936407648,90,90,1,0.812614743,0,3
Hedbergellidae,Whiteinella,aprica,94,88.8,1.39709758,68.54333333,1.182186471,1.591981259,69.44,62.87,73.32,97.77317044,149.14,4,1.062625981,371.38,591.23,90,221318.72,0.237800761,1.339646623,0.842717264,0.944043155,90,90,1,0.845257675,0,3
Hedbergellidae,Dicarinella,hagni,92.7,89,1.578035675,53.79333333,1.031016877,2.261527217,59.14,44.93,57.31,92.83667372,139.78,6,1.072510092,314.69,711.68,82.5,336274.9,0.268048492,1.20387229,0.812858907,0.983283303,50.57,46.97,1.076644667,0.892711286,0,1
Hedbergellidae,Falsotruncana,douglasi,92.5,89.8,2.156088416,63.15333333,0.998957298,2.662698172,72.92,58.35,58.19,89.5170989,153.85,6.5,1.145466287,164.63,438.36,88.59,114432.63,0.363069257,1.222878444,0.888461558,0.980502751,10.3,28.86,0.356895357,0.841550623,0.280993744,1
Hedbergellidae,Falsotruncana,loeblichae,91.1,89.9,1.733896224,68.69333333,1.114471796,1.87115708,66.98,69.51,69.59,92.05490424,175.94,5.75,1.112071742,315.19,589.77,90,243743.61,0.291667297,1.21047742,0.947833376,0.981062973,23.25,12.67,1.83504341,0.85454559,0.372283385,1
Hedbergellidae,Dicarinella,bouldinensis,93,90,1.964559703,88.29666667,1.206174927,2.630787263,96.73,78.47,89.69,89.14762153,176.67,4.5,1.191953994,204.76,538.68,89.61,179357.4,0.495166801,1.280600709,1.090537432,0.976587324,19.52,44.11,0.442530039,0.916577611,0.392215276,1
Hedbergellidae,Hedbergella,hoelzli,94.3,90.2,0.674972216,56.11333333,0.827094612,3.201874634,47.64,50.86,69.84,97.18854044,180,6,0.949667007,170.7,546.56,90,171993.16,0.132443813,1.159803964,0.863297292,0.979466376,90,90,1,0.847747166,0,3
Hedbergellidae,Helvetoglobotruncana,helvetica,93.41,90.3,1.031896975,58.25333333,1.176680483,1.942105884,53.03,53.86,67.87,97.6788532,163.96,6,1.003412522,339.24,658.84,90,249780.85,0.196273533,1.275937084,0.833738169,0.960314352,90,90,1,0.896978885,0,0
Hedbergellidae,Dicarinella,algeriana,93.9,90.3,0.956603945,65.63333333,1.061527128,2.242876664,64.69,64.82,67.39,84.48877536,139.23,6,0.992239111,197.59,443.17,90,134725.1,0.183484592,1.156424593,0.959264568,0.991657954,51.03,30.21,1.68917577,0.900385066,0,1
Hedbergellidae,Praeglobotruncana,gibba,96.5,90.3,1.345785524,62.64333333,1.2305831,1.501426764,67.5,57.75,62.68,94.81908967,90.5,6.25,1.053349694,339.93,510.38,90,165757.4,0.245757293,1.200336765,0.850417339,0.966011611,22.72,34.6,0.656647399,0.91305027,0,1
Heterohelicidae,Laeviheterohelix,flabelliformis,93,90.5,0.813753673,180,1.088300088,0.924380234,180,180,180,84.75077119,77.25,2,0.902082964,360.62,333.35,90,69292.93,0.025929918,1.423051907,0.91550055,0.816840661,90,90,1,0.854427185,0,0
Hedbergellidae,Muricohedbergella,portsdownensis,134.89761,90.65302,1.199642813,69.21666667,1.099674705,1.562668007,65.77,64.58,77.3,95.33915845,141.38,5,1.036489178,398.05,622.02,90,231742.86,0.277453899,1.429297557,0.918609854,0.964821606,90,90,1,0.782033762,0,3
Hedbergellidae,Whiteinella,praehelvetica,93.9,90.7,2.598683454,75.64333333,1.180926963,1.729183602,86.2,72.6,68.13,83.47328046,180,5,1.223768264,258.33,446.7,90,118596.19,0.406722762,1.31099358,0.95087147,0.961449271,90,90,1,0.760573013,0,3
Heterohelicidae,Heterohelix,moremani,101.6,90.7,1.140403252,180,2.700675717,0.354638389,180,180,180,93.49196285,28.05,2,1.067896648,446.06,158.19,90,45212.67,0.197150047,1.315833598,1.24134294,0.923976547,90,90,1,0.6762332,0,3
Globotruncanidae,Marginotruncana,undulata,92.3,90.8,2.536094044,53.12666667,1.130950601,2.124076705,53.19,55.12,51.07,83.78535396,129.09,7,1.145464172,422.4,897.21,64.04,571108.28,0.31473494,1.177190307,0.837380391,0.998306089,31.13,32.44,0.959617756,0.923829065,0,1
Hedbergellidae,Praeglobotruncana,stephani,101.3,91,2.334526377,53.03333333,1.116743944,1.926332637,65.96,42.94,50.2,93.95991498,127.82,5,1.145254516,224.93,433.29,65.75,138783.65,0.310885036,1.214270887,0.776485562,0.941209019,26.61,36.65,0.726057299,0.782179551,0,1
