family,genus,species,origin,extin,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Hedbergellidae,Asterohedbergella,asterospinosa,97.2,93.8,2.042137168,66.50666667,1.237488156,1.726665075,75.18,54.94,69.4,84.43106441,165.85,5.5,1.148156487,83.78,144.66,90,11046.87,0.412433567,1.369117273,0.842105483,1,84.18,2.73,30.83516484,0.745511541,0,0
Rotaliporidae,Rotalipora,montsalvensis,97.2,93.8,1.101343635,59.55333333,1.081061184,2.143869973,63.46,58.37,56.83,91.0455328,145.83,6,1.011926966,356.85,765.04,77.02,375933.33,0.22016316,1.289159896,0.756753371,0.982671309,33.6,29.45,1.140916808,0.818592979,0,3
Globigerinidae,Globigerinelloides,bentonensis,110,94,5.440969779,48.69333333,1.19452691,1.521736886,52.75,47.39,45.94,94.00701607,180,8,1.259758592,193.68,294.73,90,49681.16,0.294640262,1.248507268,0.714988693,0.943482402,90,90,1,0.867764275,0,2
Rotaliporidae,Rotalipora,appenninica,100.94,94.3,4.411747776,56.57,1.138052715,2.093659181,68.11,53.28,48.32,95.78107199,151.25,7,1.258931884,151.4,316.98,90,63947.07,0.390354241,1.201887856,0.802934952,0.992762778,51.6,37.11,1.390460792,0.886235964,0,3
Rotaliporidae,Rotalipora,evoluta,98,94.4,2.843295039,53.66333333,1.264097726,3.633711048,52.49,46.12,62.38,73.88486418,180,7.5,1.183568293,176.5,641.35,34.12,225480.1,0.361627434,1.233028967,0.723848134,0.995603883,36.6,12.99,2.817551963,0.752063184,0,3
Rotaliporidae,Rotalipora,deeckei,96,94.5,0.685102067,36.97,0.933292113,2.339189605,47.82,30.96,32.13,83.11786975,176.42,8,0.974490819,260.12,608.47,69.85,343976,0.141730818,1.076731191,0.569331416,0.969465649,71.21,46.55,1.529752954,0.761547174,0,3
Rotaliporidae,Anaticinella,multiloculata,95.2,94.8,2.543599612,57.71333333,1.186013116,1.660754843,65.17,51.9,56.07,96.64976239,128.49,6,1.162164248,299.4,497.23,90,152705.45,0.297657942,1.207124456,0.8450807,0.944880257,90,90,1,0.872595553,0,0
Hedbergellidae,Hedbergella,pseudotrocoidea,99,95,2.752345375,67.46333333,0.97951947,1.350256678,61.43,64.56,76.4,96.18219902,180,6.5,1.203587678,229.86,310.37,90,64020.99,0.374915633,1.246645326,0.987682345,0.939298209,90,90,1,0.901670396,0,3
Heterohelicidae,Heterohelix,washitensis,99,95,1.245801517,180,1.885928571,0.5625,180,180,180,80.42651587,45.45,2,1.116154791,256,144,90,24856,0.23398777,1.156746032,0.982060135,0.927516779,90,90,1,0.687821588,0,3
Favusellidae,Pseudothalmanninella,klausi,99,95,1.527974447,41.19,1.069582373,1.979029934,43.81,35.87,43.89,90.64088409,141.28,9,1.040936269,312.35,618.15,78.35,294537.98,0.181411375,1.111177641,0.651256603,0.990411903,44.38,37.99,1.168202158,0.870753718,0,0
Heterohelicidae,Heterohelix,olssoni,96.3,96.1,1.352200032,180,1.057353658,0.945500215,180,180,180,94.94945343,66.44,2,1.162841361,302.57,286.08,90,57342.57,0.379559898,1.42902463,1.063189452,0.942137761,90,90,1,0.825087275,0,3
Favusellidae,Favusella,washitensis,116.6,96.2,3.508325652,87.88,1.378685504,1.334265964,133.7,72.72,57.22,87.79459754,144.88,5,1.284575008,303.8,405.35,90,86066.03,0.455854069,1.362178095,0.987952857,0.931341085,90,90,1,0.87561675,0,0
Rotaliporidae,Rotalipora,reicheli,96.9,96.6,1.374080297,60.25,1.061405238,1.68024948,70.94,61.19,48.62,93.6710562,167.94,6.5,1.046812895,432.9,727.38,90,388788.89,0.186676579,1.144445365,0.822698483,0.979941364,81.14,2.32,34.97413793,0.831413405,0,3
Rotaliporidae,Rotalipora,micheli,99,96.8,1.097396345,49.29666667,1.142845825,2.081084996,45.84,51.54,50.51,96.51474473,163.96,6,1.011422695,276.13,574.65,90,209939.06,0.174637345,1.148106365,0.743448635,0.989975545,64.11,7.26,8.830578512,0.883861121,0,3
Rotaliporidae,Rotalipora,gandolfii,99.1,97,1.004856448,53.97333333,1.03428336,2.117421174,64.74,52.49,44.69,92.74209262,144.07,6,1.000506538,333.33,705.8,69.08,352244.51,0.205370213,1.128802815,0.840988825,0.995531681,47.18,23.73,1.98820059,0.914317891,0,3
UNKNOWN,Paracostellagerina,libyca,99.7,98.5,1.60181657,56.44666667,1.194398219,2.075669601,62.23,52.03,55.08,96.40578963,163.52,5,1.076099695,266.95,554.1,90,178365.38,0.251689818,1.305318105,0.743421875,0.934491773,90,90,1,0.787164836,0,0
Rotaliporidae,Rotalipora,praebalernaensis,102.3,98.6,1.478849042,54.61333333,1.066831777,2.039045158,61.04,49.2,53.6,92.97502002,135.56,7,1.063975286,274.81,560.35,90,205328.72,0.210924317,1.207981835,0.767623513,0.960592751,30.32,19.54,1.551688843,0.787905857,0,3
Rotaliporidae,Rotalipora,balernaensis,101,98.8,1.427762908,49.38333333,2.2121878,2.84925913,62.46,42.84,42.85,88.57225493,154.84,7.5,1.058443965,257.13,732.63,73.45,344183.01,0.187825337,1.117048057,1.258984927,0.994875274,45.04,20.79,2.166426166,0.899934655,0,3
Rotaliporidae,Clavihedbergella,subcretacea,102,98.9,2.594601824,69.26333333,1.36613806,2.928050204,69.51,67.93,70.35,84.57480615,180,6,1.20143243,137.04,401.26,89.39,77971.35,0.347938698,1.504224834,0.750700704,0.969897759,90,90,1,0.716960374,0,0
Rotaliporidae,Ticinella,madecassiana,102.2,98.9,2.116319617,56.42,1.228245547,1.435958904,69.21,55.72,44.33,97.14528866,173.83,7,1.119308898,204.4,293.51,90,51403.67,0.287788596,1.188357531,0.778000541,0.929282236,90,90,1,0.867221484,0,3
Planomalinidae,Planomalina,praebuxtorfi,105.6,98.9,1.662198983,49.41,1.238496259,2.496941284,53.68,46.47,48.08,93.92182029,180,8,1.069002081,174.91,436.74,90,96302.58,0.202887815,1.173878969,0.702948151,0.962253989,36.91,37.03,0.996759384,0.783861486,0,3
Hedbergellidae,Muricohedbergella,implicata,100.4,99,2.627053356,66.22666667,1.00917338,1.572880262,79.1,61.71,57.87,94.35378357,180,6,1.179923495,185.99,292.54,90,63773.26,0.291197596,1.197505996,0.922264378,0.958427329,90,90,1,0.833900244,0,3
Schackoinidae,Schackoina,primitiva,100.5,99,2.280234945,87.73666667,1.298743975,3.181496863,108.85,78.78,75.58,83.35901369,180,4,1.218287853,113.17,360.05,69.8,43093,0.462731766,1.506356005,0.948658529,0.989441845,27.9,21.25,1.312941176,0.633758373,0,0
Hedbergellidae,Hedbergella,punctata,101,99,1.417564012,79.52666667,1.145963814,2.273910779,84.38,83.31,70.89,96.71719975,177.97,5,1.073754344,57.61,131,90,9302.27,0.247314903,1.449355406,0.894358212,0.951557759,90,90,1,0.856313366,0,3
Hedbergellidae,Hedbergella,tunisiensis,102.93,99,1.915679555,83.61666667,1.183137315,1.885589094,93.33,75.51,82.01,96.63052776,161.9,6,1.165570278,82.16,154.92,90,14533.84,0.38405129,1.376353219,0.998942809,0.94352117,90,90,1,0.858983013,0,3
Rotaliporidae,Rotalipora,ticinensis,102.93,99,2.17759331,39.85,1.159924559,1.815547431,46.44,34.06,39.05,93.59903239,125.23,8,1.105162275,259.85,471.77,69.58,145465.38,0.287914829,1.111493267,0.673889041,0.986696085,48.79,43.34,1.125749885,0.908246688,0,3
Rotaliporidae,Biticinella,breggiensis,109,99.7,3.53559005,40.98666667,1.29830338,2.006972753,48.95,37.16,36.85,97.01076868,180,9,1.162191419,279.66,561.27,90,190380.64,0.266766253,1.084563706,0.64513855,0.917944361,90,90,1,0.851933542,0,3
Globigerinidae,Globigerinelloides,pulchellus,103,99.8,2.28169994,48.49,1.242041238,2.334260815,49.94,46.88,48.65,96.13163361,180,7,1.119780933,190.48,444.63,90,122440.16,0.256294177,1.172841486,0.751956934,0.938850417,90,90,1,0.87597428,0,2
Rotaliporidae,Rotalipora,subticinensis,103.63,99.8,1.607948992,37.38333333,1.025751769,2.085562372,45.24,31.49,35.42,94.41352247,156.49,10,1.081092594,244.5,509.92,90,178906.92,0.215045567,1.082418337,0.61147515,0.982678437,66.48,13.92,4.775862069,0.90063997,0,3
Rotaliporidae,Ticinella,roberti,106,99.8,1.22104069,42.88333333,1.050182937,1.240397242,47.94,42.09,38.62,96.23836969,154.95,8,1.031357367,365.52,453.39,90,178112.37,0.193192253,1.097269249,0.675097415,0.96774289,90,90,1,0.899556378,0,3
Rotaliporidae,Clavihedbergella,leckiei,103,100,1.763220345,86.38666667,1.209155262,2.182853077,86.95,86.41,85.8,90.35276776,153.32,5,1.145588837,56.22,122.72,90,7072.17,0.366956677,1.695617333,0.816318392,0.912962381,90,90,1,0.741999774,0,0
Hedbergellidae,Microhedbergella,rischi,110,100.2,2.57401476,75.16,1.035051739,1.481686595,85.56,78.31,61.61,94.53642209,130.1,6,1.20427437,79.45,117.72,90,9169.1,0.367214885,1.284794593,0.961598395,0.951773543,90,90,1,0.914623225,0,3
Rotaliporidae,Ticinella,yezoana,107.6,100.3,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,Microhedbergella,pseudodelrioensis,108.6,100.5,,,,,,,,,,,,,,,,,,,,,,,,,
Rotaliporidae,Ticinella,raynaudi,107.3,100.8,1.307998041,100.3866667,0.887719804,2.123917079,67.61,148.13,85.42,93.83901621,159.08,6,1.082233076,129.28,274.58,90,43690.39,0.275830223,1.303750231,0.847075166,0.974007977,90,90,1,0.843856798,0,3
Hedbergellidae,Microhedbergella,pseudoplanispira,111.6,101,,,,,,,,,,,,,,,,,,,,,,,,,
Rotaliporidae,Ticinella,primula,110.89,101.3,1.730914112,56.33333333,1.200860777,2.16988181,56.06,46.99,65.95,95.11508759,178.59,7,1.090096678,147.22,319.45,90,58516.92,0.295881089,1.210182234,0.805209436,0.9472865,90,90,1,0.790241602,0,3
Hedbergellidae,Muricohedbergella,angolae,103.8,101.5,1.893957184,79.6,0.707935514,1.971463953,93.6,78.98,66.22,95.89847015,168.35,6,1.159071934,185.73,366.16,90,69909.61,0.360116728,1.318519533,0.95478353,0.943582081,90,90,1,0.822096516,0,3
Rotaliporidae,Ticinella,praeticinensis,106.42,102,0.934376337,46.94333333,1.119662905,1.929848335,49.74,46.72,44.37,96.47820432,144.62,8,0.991253934,191.87,370.28,90,99428.73,0.15730564,1.116321425,0.711440412,0.906771693,90,90,1,0.921958491,0,3
Hedbergellidae,Microhedbergella,praeplanispira,111.8,103.4,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,Hedbergella,albiana,108.2,103.6,1.81779331,70.30666667,1.146848912,1.851802224,78.04,67.42,65.46,97.6065489,175.45,5,1.122140543,149.26,276.4,90,43735.8,0.330016828,1.337253198,0.87438424,0.918865432,90,90,1,0.848372493,0,3
Guembelitriidae,Guembelitria,sergipensis,114,104,1.60912909,180,1.111842105,0.883040936,180,180,180,93.50820326,65.42,3,1.268514521,136.8,120.8,90,11202.88,0.385243794,1.626106001,1.110348266,0.926223714,90,90,1,0.769969217,0,0
Hedbergellidae,Hedbergella,gorbachikae,115,105.6,1.492614522,76.01333333,1.09152707,1.661358547,80.12,70.85,77.07,94.98395931,180,5,1.086272983,160.76,267.08,89.49,43215.41,0.28444622,1.342345239,0.90497919,0.957713304,90,90,1,0.874846121,0,3
Hedbergellidae,Hedbergella,infracretacea,119,105.6,1.478113779,67.49,1.128312809,1.512401178,73.88,65.78,62.81,96.63831633,143.54,5,1.080752318,129.02,195.13,89.39,24084.73,0.286794164,1.184659939,0.922788642,0.92477034,90,90,1,0.903666771,0,3
Schackoinidae,Leupoldina,cabri,122.05,105.6,1.95395247,87.54333333,1.167381345,2.071672135,87.15,92.16,83.32,70.8336282,177.5,4,1.177789264,155.43,322,90,30671.67,0.408312622,2.615769548,0.529922374,0.97131077,90,90,1,0.540459608,0,0
Hedbergellidae,Hedbergella,sigali,136.76,107,1.225676152,75.43333333,1.164433435,1.889518241,72.6,80.57,73.13,95.62506234,180,4,1.048220085,164.19,310.24,90,58050.7,0.230129697,1.284195034,0.985208224,0.957233489,90,90,1,0.890197387,0,3
Hedbergellidae,Microhedbergella,renilaevis,112.3,109.8,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,Hedbergella,trocoidea,115.9,111.1,2.75426215,52.52,1.034328695,1.80573659,57.08,53.16,47.32,71.20500148,163.58,7,1.159601145,279.26,504.27,90,169322.39,0.243872355,1.209132528,0.745095704,0.952768852,25.88,64.69,0.400061833,0.858783697,0,3
Globigerinidae,Globigerinelloides,saundersi,117,111.3,1.762830575,82.73,1.115236306,2.692940145,80.39,92.87,74.93,65.17355475,180,5,1.14708415,91.22,245.65,88.8,28005.83,0.300802012,1.611190822,0.828875566,0.982124385,90,90,1,0.764009717,0,0
Rotaliporidae,Ticinella,bejaouaensis,112.7,111.9,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,Hedbergella,labocaensis,115,112,1.491982322,64.68666667,0.932127501,2.275768535,66.33,57.26,70.47,89.80390864,156.7,6,1.070509152,121.66,276.87,89.78,49191.41,0.239544668,1.323165747,0.823664956,0.969005003,90,30.51,2.949852507,0.858864054,0,3
Hedbergellidae,Microhedbergella,miniglobularis,112.6,112.2,,,,,,,,,,,,,,,,,,,,,,,,,
Globigerinidae,Globigerinelloides,aptiense,115.1,112.2,1.566556917,67.35333333,1.127583196,2.099955137,63.38,62.66,76.02,95.46863904,180,6,1.092754236,111.45,234.04,90,35856.24,0.239051836,1.278190964,0.865619228,0.941671861,90,90,1,0.880946293,0,2
Globigerinidae,Globigerinelloides,duboisi,116.6,112.2,2.047969482,87.93333333,1.221244451,2.124974221,79.67,99.06,85.07,83.68076731,180,4,1.192747898,145.47,309.12,90,49023.76,0.354493821,1.653436726,0.874622307,0.9225799,90,90,1,0.718795729,0,2
Globigerinidae,Globigerinelloides,maridalensis,116.6,112.2,1.717374891,83.61333333,1.054021565,1.949484602,79.25,85.19,86.4,97.59755971,176.99,5,1.136328766,156.19,304.49,90,55982.8,0.308827354,1.407427231,0.965656007,0.935479616,90,90,1,0.852508928,0,2
Hedbergellidae,Hedbergella,bizonae,116.6,112.2,1.49102118,64.27,1.065761037,1.885742324,65.53,58.8,68.48,96.9931797,158.18,6,1.071805739,142.66,269.02,90,39998.27,0.237428019,1.628304835,0.674196975,0.964629447,42.06,62.73,0.670492587,0.760098001,0,3
Hedbergellidae,Hedbergella,kuznetsovae,116.6,112.2,1.792065408,50.62333333,1.267303353,1.888546116,50.72,49.59,51.56,92.99647612,180,7,1.08713598,126.42,238.75,90,32318,0.232605669,1.193269558,0.729316673,0.936277704,90,90,1,0.840211773,0,3
Hedbergellidae,Gorbachikella,kugleri,122,112.2,2.510102362,88.53333333,1.171504898,1.497566645,106.99,81.68,76.93,96.05925906,176.62,4,1.245397447,137.67,206.17,90,21633.8,0.421844059,1.334813932,1.029225927,0.935513429,90,90,1,0.904455268,0,0
Hedbergellidae,Hedbergella,praelippa,114.2,112.3,,,,,,,,,,,,,,,,,,,,,,,,,
Paraticinellinae,Paraticinella,transitoria,113.4,112.5,,,,,,,,,,,,,,,,,,,,,,,,,
Paraticinellinae,Paraticinella,eubejaouaensis,114.3,112.5,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,"Pseudoguembelitria
","blakenosensis
",115,112.5,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbergellidae,Hedbergella,hispaniae,114.8,112.6,1.393647446,63.31,0.964542936,1.493942453,70.95,56.62,62.36,94.63845338,164.47,5,1.050816786,158.48,236.76,104.15,42259.72,0.241767338,1.205250918,0.901585679,0.960865992,65.65,74.22,0.884532471,0.8630081,0,3
Planomalinidae,Planomalina,cheniourensis,116.6,113,0.908823754,35.76666667,1.119461101,3.833333333,43.98,28.45,34.87,86.00524864,180,11.5,1.002370073,150,575,90,225506.2,0.138050306,1.096691303,0.532475078,0.932004592,31.01,27.3,1.135897436,0.770090853,0,3
Hedbergellidae,Hedbergella,excelsa,121,113,1.290468747,65.65,1.097786999,1.304644809,69.15,65.98,61.82,94.44145428,120.96,6,1.046971059,117.12,152.8,89.96,16734.04,0.233647105,1.188404325,0.902491396,0.941628427,90,90,1,0.918039032,0,3
Globigerinidae,Globigerinelloides,lobatus,118.5,113.8,1.084970449,75.96666667,1.138802258,2.231639741,64.65,74.23,89.02,82.9450189,180,5,1.019736132,128.13,285.94,90,53718.26,0.218515641,1.455648445,0.906466438,0.937137438,90,90,1,0.742671766,0,2
Hedbergellidae,Hedbergella,maslakovae,117.5,114,1.523174933,68.53666667,1.211627746,2.555952913,71.58,64.26,69.77,92.12561684,158.02,6.5,1.084309773,67.11,171.53,90,15944.82,0.256642596,1.410224169,0.765161444,0.928203167,90,90,1,0.777532432,0,3
Hedbergellidae,Hedbergella,primare,115,114.7,1.448653767,62.24666667,2.412959795,1.882446187,55.71,63.45,67.58,94.7550292,180,6,1.063005489,119.86,225.63,90,32762.11,0.217670352,1.239830146,1.077257126,0.948289472,90,90,1,0.882427026,0,3
Globigerinidae,Globigerinelloides,algerianus,119,114.7,2.764199531,39.08,1.178882836,3.196854691,40.75,28.44,48.05,88.1809261,172.68,11,1.104269604,201.57,644.39,90,254887.34,0.169675395,1.13942549,0.534794072,0.970181592,90,90,1,0.87580324,0,2
Hedbergellidae,Hedbergella,luterbacheri,119,115,1.27013781,56.07,0.950432468,2.290066225,56.69,51.32,60.2,93.66296078,164.33,7.5,1.042372832,52.85,121.03,90,9727.05,0.209372831,1.216162761,0.820654396,0.935661372,90,90,1,0.818244211,0,3
Hedbergellidae,Hedbergella,roblesae,119,115,2.400476402,61.33666667,0.996565635,1.782642613,70.55,51.25,62.21,98.33308465,174.33,5.5,1.146336788,102.55,182.81,90,21209.99,0.307064737,1.538425003,0.729760523,0.938862788,90,90,1,0.787522041,0,3
Hedbergellidae,Hedbergella,speetonensis,119,115,1.231437633,62.69333333,1.052753294,1.426178329,66.03,62.15,59.9,93.78687305,180,6,1.036559374,131.33,187.3,90,35677.16,0.204725937,1.28404814,0.825753401,0.949405794,90,90,1,0.862333761,0,3
Hedbergellidae,Hedbergella,similis,129.64,115,1.72423327,67.91333333,1.385571142,2.761454393,61.13,77.25,65.36,96.83481307,180,6,1.111113884,47.58,131.39,90,9349.61,0.261121052,1.462940415,0.761102886,0.954121229,90,90,1,0.805908757,0,3
Schackoinidae,Leupoldina,reicheli,119.1,115.6,2.662936555,71.14,1.414928869,5.348920086,61.78,73.18,78.46,60.77143094,164.18,5,1.218793007,92.6,495.31,90,57785.64,0.386370385,3.173827271,0.408585014,0.977542837,2.34,15.95,0.146708464,0.450826498,0,0
Globigerinidae,Globigerinelloides,blowi,127.88,115.9,1.552197246,75.88666667,1.153811998,1.833415649,72.96,70.56,84.14,97.9498057,180,5,1.100079739,141.73,259.85,90,46173.66,0.301308582,1.297776894,0.971251914,0.918344837,90,90,1,0.872325179,0,2
Globigerinidae,Globigerinelloides,barri,120.5,116.5,1.307263861,39.40666667,1.2007875,1.36302165,35,43.32,39.9,98.83204623,180,7.5,1.036481866,344.58,469.67,90,148604.09,0.184940199,1.118430503,0.640488905,0.943075621,90,90,1,0.912177823,0,2
Hedbergellidae,Hedbergella,praetrocoidea,118.3,116.6,1.55182918,64.38,1.278116549,1.873383318,71.84,65.99,55.31,96.65119487,165.8,6,1.072461282,106.7,199.89,90,24758.95,0.223007438,1.23773989,0.82830868,0.916335269,90,90,1,0.873171068,0,3
Globigerinidae,Globigerinelloides,ferreolensis,120.7,116.6,3.168778106,43.24,1.379203405,2.015298895,53.19,41.05,35.48,95.54896043,180,7,1.16573816,211.78,426.8,90,107579.37,0.269826548,1.167473199,0.636097561,0.960347562,90,90,1,0.895283519,0,2
Favusellidae,Favusella,hoterivica,142.3,116.6,1.735118199,91.54333333,1.010383387,1.175729328,84.76,94.84,95.03,79.91659152,123.69,4,1.141282554,115.86,136.22,70.51,13741.39,0.364356881,1.193743329,1.18108361,0.896715923,90,90,1,0.928638394,0,0
Hedbergellidae,Hedbergella,aptiana,127,117,1.807921273,70.81333333,1.137793417,1.886595138,83.61,63.47,65.36,93.97947166,175,5,1.117419165,147.26,277.82,90,43998.4,0.321676925,1.32111789,0.873612083,0.909301421,90,90,1,0.816359177,0,3
UNKNOWN,Loeblichella,convexa,119,117.1,1.343953782,79.29666667,1.120815022,1.944792425,77.65,89.32,70.92,93.89978601,180,5,1.075318481,68.65,133.51,90,12346.97,0.283653398,1.153750987,1.092149115,0.975899024,90,90,1,0.8850077,0,0
Globigerinidae,Globigerinelloides,gottisi,119.8,117.5,2.1740634,74.59,0.956372381,1.75261349,86.37,74.23,63.17,96.08035603,180,6,1.167101337,139.66,244.77,90,22971.91,0.309568512,1.343125787,0.895597652,0.933009344,90,90,1,0.879077663,0,2
Hedbergellidae,Hedbergella,bollii,120,117.5,1.728103335,60.63,1.194936918,1.990909091,64.53,56.13,61.23,94.44333151,180,6,1.09679262,70.4,140.16,90,10472.54,0.265349189,1.589892161,0.655724725,0.969234936,50.28,59.05,0.851481795,0.69601437,0,3
Schackoinidae,Leupoldina,pustulans,119.1,117.8,2.240375493,84.3,0.627975401,5.082154796,82.46,81.79,88.65,66.75009164,180,4,1.214598823,77.78,395.29,64.58,38206.1,0.386408453,2.705985987,0.547193994,0.969664436,37.87,58.39,0.648569961,0.516142869,0,0
Hedbergellidae,Hedbergella,kuhryi,119,118,1.762809792,68.44,1.065874953,2.336958413,69.21,64.05,72.06,96.24439601,180,6,1.113151151,114.94,268.61,89.71,41773.39,0.232674676,1.476590552,0.751535566,0.973561806,29.3,38.81,0.754960062,0.780127016,0,3
Hedbergellidae,Hedbergella,mitra,119,118,1.771926452,60.15,1.265076989,1.833911125,62.82,62.06,55.57,95.91858793,175.55,6,1.102287862,126.92,232.76,90,30786.57,0.250252302,1.282882651,0.784015849,0.948168233,90,90,1,0.848303546,0,3
Schackoinidae,Leupoldina,hexacamerata,119,118.2,1.199120109,61.11,1.202657234,1.855442615,57.32,53.45,72.56,67.69859409,180,6,1.029079792,155.44,288.41,90,29778.47,0.190031926,1.725532625,0.625803077,0.981625752,26.46,8,3.3075,0.557547917,0,0
Globigerinidae,Globigerinelloides,sigali,119,118.5,1.38121052,57.38333333,1.067296908,2.159880169,60.47,58.6,53.08,92.72151005,145.98,4,1.04827042,253.69,547.94,69.66,205739.93,0.249979622,1.135429976,0.868518505,0.992769163,41.91,24.59,1.704351362,0.886579999,0,0
Hedbergellidae,Hedbergella,semielongata,126.5,118.7,1.782442789,80.46,1.094798286,2.402689416,88.3,73.1,79.98,95.96485176,180,4.5,1.129036143,69.16,166.17,89.76,14826.87,0.293349844,1.733631485,0.784370801,0.946696757,90,90,1,0.765061927,0,3
Hedbergellidae,Hedbergella,occulta,121,119,1.440872326,58.47,1.180687425,1.942052399,55.66,57.39,62.36,94.69994597,180,6,1.056977969,142.37,276.49,89.38,47315.57,0.226119225,1.238649296,0.818655608,0.903675617,90,90,1,0.825758591,0,3
Hedbergellidae,Hedbergella,ruka,125,123,1.256150502,87.89333333,1.126173612,1.404225352,95.76,88.36,79.56,86.22761125,127.14,4,1.050561892,92.3,129.61,90,10840.04,0.262625415,1.290409089,1.059192992,0.934061878,90,90,1,0.867321246,0,3
Hedbergellidae,Hedbergella,tuschepsensis,127,124,2.258041874,84.15666667,1.207085321,1.600476981,89.86,87.2,75.41,95.00556391,179.85,4.5,1.212587051,96.44,154.35,90,15003.06,0.474954443,1.340188678,0.991104491,0.93551873,90,90,1,0.860902996,0,3
Hedbergellidae,Gorbachikella,depressa,138.9,125,2.719344307,89.48333333,1.144341848,1.285192379,82.14,113.56,72.75,90.47182056,122.57,4,1.21797505,216.24,277.91,90,50737.25,0.307025706,1.308480554,1.067779104,0.895915003,90,90,1,0.902725742,0,0
Hedbergellidae,Gorbachikella,grandiapertura,138.9,125,5.952791768,84.70333333,1.132498013,1.17147932,121.16,78.22,54.73,90.07786255,124.91,4,1.316537537,197.05,230.84,90,38476.15,0.325173127,1.283203431,1.080387238,0.925447738,90,90,1,0.883057086,0,0
Globigerinidae,Globigerinelloides,paragottisi,140.2,125,2.724191067,77.86333333,1.28245872,2.139222136,94.15,73.17,66.27,98.50629329,180,5,1.237532106,103.36,221.11,90,26987.77,0.391530682,1.427053456,0.910006042,0.934785975,90,90,1,0.83800647,0,2
Hedbergellidae,Gorbachikella,neilii,138.9,128.3,2.277489665,99.01666667,1.386406784,0.976575938,79.74,122.51,94.8,97.00039111,148.84,4,1.227654405,197.66,193.03,90,27688.36,0.48505762,1.336883234,1.115601165,0.912347543,90,90,1,0.917266006,0,0
Hedbergellidae,Hedbergella,handousi,136,131,2.058390169,83.77,1.409332916,2.057437296,109.51,72.39,69.41,98.25183327,172.5,4,1.206688246,131.97,271.52,90,35961.94,0.482656664,1.48967814,0.906307178,0.937225424,90,90,1,0.857343845,0,3
Globuligerinidae,Conoglobigerina,gulekhensis,145.5,134,1.577287497,86.94333333,1.191821456,1.149749158,91.55,87.74,81.54,88.21179797,85.52,4,1.114372766,145.51,167.3,90,16391.7,0.333062465,1.2430437,1.151086135,0.937591556,90,90,1,0.894224687,0,0
Globuligerinidae,Conoglobigerina,caucasica,145.5,137,2.339008623,89.32333333,1.302857143,1.441796768,113.48,76.72,77.77,97.91872828,126.29,4,1.237462134,109.53,157.92,90,12575.05,0.404035769,1.39336858,1.018155446,0.933639258,90,90,1,0.88534686,0,0
Globuligerinidae,Conoglobigerina,conica,150.8,145.5,1.384529019,88.28333333,1.060943569,0.907840713,95.61,77.21,92.03,92.16006015,58.4,4,1.092667314,453.02,411.27,89.83,85420.92,0.386142996,1.424409055,1.011955158,0.933322258,90,90,1,0.728059536,0,0
Globuligerinidae,Conoglobigerina,terquemi,150.8,145.5,2.958548195,86.14,1.173594955,1.641468491,113.31,79.86,65.25,88.93178198,114.26,4.75,1.268879769,225.81,370.66,90,86461.11,0.469318287,1.452712582,0.93321376,0.953835418,18.9,49.03,0.385478279,0.761748822,0,0
UNKNOWN,Compactogerina,stellapolaris,150.8,146,1.462449987,85.21666667,1.047237861,1.372811169,79.2,89.68,86.77,91.525486,159.59,4,1.095865021,169.04,232.06,90,40808.59,0.317064373,1.110391104,1.248237997,0.942373702,90,90,1,0.942673867,0,0
UNKNOWN,Haeuslerina,parva,155,152,2.038775698,88.31666667,1.111581412,1.461705726,108.37,78.92,77.66,87.55435324,144.73,4,1.198706374,82.78,121,90,1104.24,0.402865319,1.350078796,1.019253467,0.948403995,90,90,1,0.800038452,0,0
Globuligerinidae,Globuligerina,bathoniana,165,153,1.553977577,87.62,1.111715102,1.111403894,107.38,77.87,77.61,88.84369867,87.26,4,1.148151463,136.62,151.84,90,15955.55,0.352694204,1.249157373,1.132822293,0.92148608,90,90,1,0.886211351,0,0
UNKNOWN,Haeuslerina,helvetojurassica,161,155,2.538937249,85.03333333,1.205794778,1.227772969,105.23,77.96,71.91,82.06098341,150.77,4,1.265932399,80.87,99.29,89.57,6974.62,0.498034302,1.312207643,1.054452305,0.908411215,90,90,1,0.816982909,0,0
Globuligerinidae,Globuligerina,oxfordiana,161.2,158,2.532243984,80.77666667,1.157827428,1.287978521,108.75,75.76,57.82,93.72295954,99.46,4,1.204849024,115.46,148.71,90,14579.75,0.40207068,1.290021567,1.032521677,0.930385039,90,90,1,0.832025811,0,0
Globuligerinidae,Conoglobigerina,meganomica,165,161,1.487944829,90.79,1.054273876,1.345527934,91.13,92.55,88.69,93.11147337,144.25,4,1.103666587,156.08,210.01,90,26527.87,0.30584589,1.302251105,1.090249842,0.929267783,90,90,1,0.905938205,0,0
